SKU,Week_Start,Units_Sold,Revenue,Seasonal_Naive_Forecast
SKU005,2025-09-01,95,901855.8999999999,113.0
SKU005,2025-09-08,96,911349.12,104.0
SKU005,2025-09-15,89,844896.58,95.0
SKU005,2025-09-22,108,1025267.76,108.0
SKU005,2025-09-29,97,920842.34,86.0
SKU005,2025-10-06,107,1015774.5399999999,96.0
SKU005,2025-10-13,105,996788.1,92.0
SKU005,2025-10-20,98,930335.5599999999,85.0
SKU005,2025-10-27,104,987294.88,109.0
SKU005,2025-11-03,114,1082227.08,109.0
SKU005,2025-11-10,102,968308.44,123.0
SKU005,2025-11-17,115,1091720.3,104.0
SKU005,2025-11-24,100,949322.0,79.0
SKU005,2025-12-01,96,911349.12,95.0
SKU005,2025-12-08,103,977801.6599999999,107.0
SKU005,2025-12-15,100,949321.9999999999,110.0
SKU005,2025-12-22,108,1025267.7599999999,106.0
SKU005,2025-12-29,50,474661.0,111.0
SKU006,2024-01-01,38,308029.52,
SKU006,2024-01-08,34,275605.36,
SKU006,2024-01-15,43,348559.72,
SKU006,2024-01-22,39,316135.56,
SKU006,2024-01-29,49,397195.96,
SKU006,2024-02-05,50,405302.0,
SKU006,2024-02-12,52,421514.08,
SKU006,2024-02-19,50,405302.0,
SKU006,2024-02-26,56,453938.24,
SKU006,2024-03-04,76,616059.04,
SKU006,2024-03-11,50,405302.0,
SKU006,2024-03-18,55,445832.2,
SKU006,2024-03-25,53,429620.12,
SKU006,2024-04-01,68,551210.72,
SKU006,2024-04-08,61,494468.44,
SKU006,2024-04-15,54,437726.16,
SKU006,2024-04-22,44,356665.76,
SKU006,2024-04-29,54,437726.16000000003,
SKU006,2024-05-06,45,364771.8,
SKU006,2024-05-13,52,421514.08,
SKU006,2024-05-20,58,470150.31999999995,
SKU006,2024-05-27,46,372877.83999999997,
SKU006,2024-06-03,33,267499.32,
SKU006,2024-06-10,41,332347.63999999996,
SKU006,2024-06-17,42,340453.68,
SKU006,2024-06-24,59,478256.36,
SKU006,2024-07-01,54,437726.16,
SKU006,2024-07-08,42,340453.68,
SKU006,2024-07-15,47,380983.88,
SKU006,2024-07-22,48,389089.92,
SKU006,2024-07-29,45,364771.8,
SKU006,2024-08-05,25,202651.0,
SKU006,2024-08-12,39,316135.56,
SKU006,2024-08-19,34,275605.36,
SKU006,2024-08-26,55,445832.2,
SKU006,2024-09-02,33,267499.32,
SKU006,2024-09-09,38,308029.52,
SKU006,2024-09-16,42,340453.68,
SKU006,2024-09-23,40,324241.6,
SKU006,2024-09-30,47,380983.88,
SKU006,2024-10-07,38,308029.52,
SKU006,2024-10-14,37,299923.48,
SKU006,2024-10-21,29,235075.16,
SKU006,2024-10-28,40,324241.6,
SKU006,2024-11-04,40,324241.6,
SKU006,2024-11-11,28,226969.12,
SKU006,2024-11-18,41,332347.64,
SKU006,2024-11-25,44,356665.76,
SKU006,2024-12-02,44,356665.76,
SKU006,2024-12-09,34,275605.36,
SKU006,2024-12-16,44,356665.76,
SKU006,2024-12-23,48,389089.92,
SKU006,2024-12-30,45,364771.8,38.0
SKU006,2025-01-06,50,405302.0,34.0
SKU006,2025-01-13,46,372877.83999999997,43.0
SKU006,2025-01-20,51,413408.04,39.0
SKU006,2025-01-27,47,380983.88,49.0
SKU006,2025-02-03,46,372877.83999999997,50.0
SKU006,2025-02-10,45,364771.8,52.0
SKU006,2025-02-17,51,413408.04,50.0
SKU006,2025-02-24,57,462044.28,56.0
SKU006,2025-03-03,58,470150.31999999995,76.0
SKU006,2025-03-10,66,534998.64,50.0
SKU006,2025-03-17,42,340453.68,55.0
SKU006,2025-03-24,55,445832.2,53.0
SKU006,2025-03-31,56,453938.24,68.0
SKU006,2025-04-07,53,429620.12,61.0
SKU006,2025-04-14,46,372877.84,54.0
SKU006,2025-04-21,67,543104.6799999999,44.0
SKU006,2025-04-28,44,356665.76,54.0
SKU006,2025-05-05,66,534998.64,45.0
SKU006,2025-05-12,55,445832.2,52.0
SKU006,2025-05-19,51,413408.04,58.0
SKU006,2025-05-26,50,405302.0,46.0
SKU006,2025-06-02,57,462044.27999999997,33.0
SKU006,2025-06-09,64,518786.56,41.0
SKU006,2025-06-16,42,340453.68,42.0
SKU006,2025-06-23,54,437726.16,59.0
SKU006,2025-06-30,41,332347.64,54.0
SKU006,2025-07-07,31,251287.24,42.0
SKU006,2025-07-14,45,364771.8,47.0
SKU006,2025-07-21,43,348559.72,48.0
SKU006,2025-07-28,49,397195.95999999996,45.0
SKU006,2025-08-04,46,372877.83999999997,25.0
SKU006,2025-08-11,38,308029.51999999996,39.0
SKU006,2025-08-18,42,340453.68,34.0
SKU006,2025-08-25,36,291817.44,55.0
SKU006,2025-09-01,43,348559.72,33.0
SKU006,2025-09-08,40,324241.6,38.0
SKU006,2025-09-15,45,364771.8,42.0
SKU006,2025-09-22,48,389089.92,40.0
SKU006,2025-09-29,43,348559.72,47.0
SKU006,2025-10-06,38,308029.52,38.0
SKU006,2025-10-13,29,235075.15999999997,37.0
SKU006,2025-10-20,34,275605.36,29.0
SKU006,2025-10-27,36,291817.44,40.0
SKU006,2025-11-03,39,316135.56,40.0
SKU006,2025-11-10,31,251287.24,28.0
SKU006,2025-11-17,45,364771.8,41.0
SKU006,2025-11-24,40,324241.6,44.0
SKU006,2025-12-01,37,299923.48,44.0
SKU006,2025-12-08,41,332347.64,34.0
SKU006,2025-12-15,41,332347.64,44.0
